/Users/master/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
[102/403] 'top family travel blog 2026'                    +3 new (total 311)
[103/403] 'top family travel blog contact us'              +1 new (total 312)
[104/403] 'couples travel blog'                            +7 new (total 319)
[105/403] 'couples travel blog write for us'               +2 new (total 321)
[106/403] 'couples travel blog 2026'                       +6 new (total 327)
[107/403] 'couples travel blog contact us'                 +4 new (total 331)
[108/403] 'best couples travel blog'                       +1 new (total 332)
[109/403] 'best couples travel blog write for us'          DDG blocked/failed — backing off, will retry
[110/403] 'best couples travel blog 2026'                  +3 new (total 335)
[111/403] 'best couples travel blog contact us'            +0 new (total 335)
[112/403] 'top couples travel blog'                        +0 new (total 335)
[113/403] 'top couples travel blog write for us'           +0 new (total 335)
[114/403] 'top couples travel blog 2026'                   +2 new (total 337)
[115/403] 'top couples travel blog contact us'             +1 new (total 338)
[116/403] 'solo travel blog'                               DDG blocked/failed — backing off, will retry
[117/403] 'solo travel blog write for us'                  DDG blocked/failed — backing off, will retry
[118/403] 'solo travel blog 2026'                          +7 new (total 345)
[119/403] 'solo travel blog contact us'                    +5 new (total 350)
[120/403] 'best solo travel blog'                          +21 new (total 371)
[121/403] 'best solo travel blog write for us'             +3 new (total 374)
[122/403] 'best solo travel blog 2026'                     +3 new (total 377)
[123/403] 'best solo travel blog contact us'               +2 new (total 379)
[124/403] 'top solo travel blog'                           +1 new (total 380)
[125/403] 'top solo travel blog write for us'              +0 new (total 380)
[126/403] 'top solo travel blog 2026'                      +2 new (total 382)
[127/403] 'top solo travel blog contact us'                +0 new (total 382)
[128/403] 'coastal travel blog'                            +24 new (total 406)
[129/403] 'coastal travel blog write for us'               +1 new (total 407)
[130/403] 'coastal travel blog 2026'                       +6 new (total 413)
[131/403] 'coastal travel blog contact us'                 DDG blocked/failed — backing off, will retry
[132/403] 'best coastal travel blog'                       +39 new (total 452)
[133/403] 'best coastal travel blog write for us'          +1 new (total 453)
[134/403] 'best coastal travel blog 2026'                  +1 new (total 454)
[135/403] 'best coastal travel blog contact us'            +1 new (total 455)
[136/403] 'top coastal travel blog'                        +0 new (total 455)
[137/403] 'top coastal travel blog write for us'           +1 new (total 456)
[138/403] 'top coastal travel blog 2026'                   +1 new (total 457)
[139/403] 'top coastal travel blog contact us'             DDG blocked/failed — backing off, will retry
[140/403] 'island hopping blog'                            DDG blocked/failed — backing off, will retry
[141/403] 'island hopping blog write for us'               DDG blocked/failed — backing off, will retry
[142/403] 'island hopping blog 2026'                       +10 new (total 467)
[143/403] 'island hopping blog contact us'                 +7 new (total 474)
[144/403] 'best island hopping blog'                       +4 new (total 478)
[145/403] 'best island hopping blog write for us'          +18 new (total 496)
[146/403] 'best island hopping blog 2026'                  +3 new (total 499)
[147/403] 'best island hopping blog contact us'            DDG blocked/failed — backing off, will retry
[148/403] 'top island hopping blog'                        +3 new (total 502)
[149/403] 'top island hopping blog write for us'           +0 new (total 502)
[150/403] 'top island hopping blog 2026'                   +1 new (total 503)
[151/403] 'top island hopping blog contact us'             +2 new (total 505)
[152/403] 'beach travel blog'                              +5 new (total 510)
[153/403] 'beach travel blog write for us'                 +0 new (total 510)
[154/403] 'beach travel blog 2026'                         +6 new (total 516)
[155/403] 'beach travel blog contact us'                   +6 new (total 522)
[156/403] 'best beach travel blog'                         +1 new (total 523)
[157/403] 'best beach travel blog write for us'            +0 new (total 523)
[158/403] 'best beach travel blog 2026'                    +2 new (total 525)
[159/403] 'best beach travel blog contact us'              +3 new (total 528)
[160/403] 'top beach travel blog'                          +0 new (total 528)
[161/403] 'top beach travel blog write for us'             +0 new (total 528)
[162/403] 'top beach travel blog 2026'                     +1 new (total 529)
[163/403] 'top beach travel blog contact us'               +2 new (total 531)
[164/403] 'digital nomad travel blog'                      +5 new (total 536)
[165/403] 'digital nomad travel blog write for us'         +1 new (total 537)
[166/403] 'digital nomad travel blog 2026'                 +8 new (total 545)
[167/403] 'digital nomad travel blog contact us'           +3 new (total 548)
[168/403] 'best digital nomad travel blog'                 +1 new (total 549)
[169/403] 'best digital nomad travel blog write for us'    +0 new (total 549)
[170/403] 'best digital nomad travel blog 2026'            +5 new (total 554)
[171/403] 'best digital nomad travel blog contact us'      DDG blocked/failed — backing off, will retry
[172/403] 'top digital nomad travel blog'                  DDG blocked/failed — backing off, will retry
[173/403] 'top digital nomad travel blog write for us'     DDG blocked/failed — backing off, will retry
[174/403] 'top digital nomad travel blog 2026'             DDG blocked/failed — backing off, will retry
[175/403] 'top digital nomad travel blog contact us'       +2 new (total 556)
[176/403] 'budget travel blog'                             +0 new (total 556)
[177/403] 'budget travel blog write for us'                +1 new (total 557)
[178/403] 'budget travel blog 2026'                        +6 new (total 563)
